local_time,local_ns,monotonic_ns,packet_type,exchange_segment,security_id,LTP,LTQ,LTT,avg_price,volume,total_sell_quantity,total_buy_quantity,OI,depth_json
09:15:00.001,1789530300001154371,248042555089198,Ticker Data,0,51,74249.31,,09:14:30,,,,,,
09:15:00.001,1789530300001273452,248042555207159,Previous Close,0,51,,,,,,,,,
09:15:00.001,1789530300001328812,248042555262479,Ticker Data,0,51,74249.31,,09:14:31,,,,,,
09:15:00.001,1789530300001373012,248042555306599,Ticker Data,0,51,74249.31,,09:14:32,,,,,,
09:15:00.001,1789530300001414772,248042555348359,Ticker Data,0,51,74249.31,,09:14:33,,,,,,
09:15:00.001,1789530300001455053,248042555388600,Ticker Data,0,51,74249.31,,09:14:34,,,,,,
09:15:00.001,1789530300001493773,248042555427360,Ticker Data,0,51,74249.31,,09:14:35,,,,,,
09:15:00.001,1789530300001531933,248042555465480,Ticker Data,0,51,74249.31,,09:14:36,,,,,,
09:15:00.001,1789530300001568653,248042555502240,Ticker Data,0,51,74249.31,,09:14:37,,,,,,
09:15:00.001,1789530300001605974,248042555539521,Ticker Data,0,51,74249.31,,09:14:38,,,,,,
09:15:00.001,1789530300001643134,248042555576681,Ticker Data,0,51,74249.31,,09:14:39,,,,,,
09:15:00.001,1789530300001679614,248042555613161,Ticker Data,0,51,74249.31,,09:14:40,,,,,,
09:15:00.001,1789530300001715854,248042555649401,Ticker Data,0,51,74249.31,,09:14:41,,,,,,
09:15:00.001,1789530300001751855,248042555685442,Ticker Data,0,51,74249.31,,09:14:42,,,,,,
09:15:00.001,1789530300001829335,248042555762922,Ticker Data,0,51,74249.31,,09:14:43,,,,,,
09:15:00.001,1789530300001867815,248042555801402,Ticker Data,0,51,74249.31,,09:14:44,,,,,,
09:15:00.001,1789530300001904456,248042555838043,Ticker Data,0,51,74249.31,,09:14:45,,,,,,
09:15:00.001,1789530300001939856,248042555873403,Ticker Data,0,51,74249.31,,09:14:46,,,,,,
09:15:00.001,1789530300001975456,248042555909043,Ticker Data,0,51,74249.31,,09:14:47,,,,,,
09:15:00.002,1789530300002011016,248042555944563,Ticker Data,0,51,74249.31,,09:14:48,,,,,,
09:15:00.002,1789530300002047496,248042555981083,Ticker Data,0,51,74249.31,,09:14:49,,,,,,
09:15:00.002,1789530300002104577,248042556038204,Ticker Data,0,51,74249.31,,09:14:50,,,,,,
09:15:00.002,1789530300002155217,248042556088764,Ticker Data,0,51,74249.31,,09:14:51,,,,,,
09:15:00.002,1789530300002194257,248042556127844,Ticker Data,0,51,74249.31,,09:14:52,,,,,,
09:15:00.002,1789530300002231338,248042556164925,Ticker Data,0,51,74249.31,,09:14:53,,,,,,
09:15:00.002,1789530300002268578,248042556202205,Ticker Data,0,51,74249.31,,09:14:54,,,,,,
09:15:00.002,1789530300002342378,248042556276045,Ticker Data,0,51,74249.31,,09:14:55,,,,,,
09:15:00.002,1789530300002384979,248042556318566,Ticker Data,0,51,74249.31,,09:14:56,,,,,,
09:15:00.002,1789530300002421739,248042556355326,Ticker Data,0,51,74249.31,,09:14:57,,,,,,
09:15:00.002,1789530300002458059,248042556391606,Ticker Data,0,51,74249.31,,09:14:58,,,,,,
09:15:00.002,1789530300002493659,248042556427246,Ticker Data,0,51,74249.31,,09:14:59,,,,,,
